State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Cost
South Carolina,4978459.0,6797127.0,2872798.0,5084119.0,6056366.0,3929338.0,4291549.0,4648388.0,4868919.0,4592897.0,5668822.0,4079399.0,57868181
Tennessee,9584128.0,5875703.0,5662668.0,2078664.0,5550030.0,5556902.0,5495526.0,9190082.0,2228901.0,9100370.0,5757225.0,5713450.0,71793649
"Choctaw Indians, MS",34856.0,32646.0,24246.0,29415.0,23236.0,24815.0,28675.0,32504.0,29877.0,26165.0,32348.0,32364.0,351147
"Eastern Cherokee, NC",27764.0,19713.0,19981.0,22378.0,25541.0,24152.0,22922.0,20190.0,22624.0,19845.0,28261.0,12546.0,265917
Illinois,14704143.0,12374927.0,12080755.0,10680089.0,9178873.0,13776908.0,10151402.0,16807784.0,10128654.0,9130205.0,9155750.0,12757545.0,140927035
Indiana,6182684.0,5748693.0,5739333.0,5582343.0,4783705.0,5330383.0,5412863.0,4915742.0,5324890.0,5139553.0,4950148.0,5089699.0,64200036
Michigan,9253133.0,9299341.0,9144313.0,9005229.0,8534005.0,8683762.0,8629141.0,9383492.0,8942133.0,9487845.0,9203872.0,9078139.0,108644405
Minnesota,2376908.0,4578750.0,5899687.0,5119259.0,4621918.0,5495686.0,4726626.0,4545964.0,5665092.0,5491384.0,6348110.0,6368544.0,61237928
Ohio,8042122.0,2318375.0,7658575.0,12361338.0,7145204.0,7492381.0,7289519.0,2845730.0,7208601.0,7289614.0,7529263.0,12033974.0,89214696
Wisconsin,4389114.0,4192677.0,4146939.0,4202687.0,3893071.0,3720740.0,3810626.0,3765608.0,5747002.0,1711622.0,3849377.0,6122852.0,49552315
Arkansas,3551610.0,3495328.0,3520659.0,3562815.0,3311831.0,3376319.0,3369568.0,3550387.0,3463944.0,3470481.0,3545414.0,3438543.0,41656899
Louisiana,6446314.0,6220601.0,6089818.0,6173894.0,6304061.0,5787497.0,5552018.0,5818875.0,6306885.0,9071790.0,2290921.0,6000317.0,72062991
New Mexico,1718821.0,1700156.0,800533.0,1752378.0,1622461.0,2475475.0,578537.0,2445032.0,1669660.0,1713533.0,1781357.0,2112615.0,20370558
Oklahoma,3426601.0,3324350.0,2987442.0,3313565.0,2949377.0,2821484.0,3210593.0,2876707.0,2261140.0,2311559.0,2850803.0,3091274.0,35424895
Texas,,,,,,,,,,,,, 
Texas,37552604.0,19687072.0,27175947.0,21096330.0,24754181.0,25527568.0,17470251.0,41535607.0,8558544.0,36303013.0,12933174.0,35019859.0,307614150
"Acoma, Canoncito & Laguna, NM",13396.0,17358.0,27132.0,20429.0,14000.0,19449.0,21106.0,23089.0,29957.0,14000.0,20939.0,19498.0,240353
"Eight Northern Pueblos, NM",13248.0,15106.0,15496.0,14807.0,13937.0,13075.0,14740.0,14932.0,14399.0,14838.0,15407.0,14222.0,174207
"Five Sandoval Pueblos, NM",14021.0,13696.0,9745.0,13907.0,13842.0,14431.0,14821.0,12158.0,14730.0,12842.0,17492.0,14259.0,165944
"Isleta Pueblo, NM",56238.0,55026.0,57259.0,55978.0,52129.0,48957.0,55210.0,55120.0,55167.0,55948.0,83175.0,59963.0,690170
"San Felipe Pueblo, NM",10514.0,15147.0,14303.0,16066.0,22229.0,18161.0,8663.0,37740.0,20086.0,25666.0,28660.0,22858.0,240093
"Santo Domingo Tribe, NM",13235.0,14122.0,12887.0,14769.0,10984.0,11654.0,13504.0,15440.0,14384.0,17267.0,15024.0,35939.0,189209
"Zuni Pueblo, NM",38345.0,33935.0,34070.0,31472.0,29640.0,31590.0,34521.0,31521.0,31400.0,32923.0,32327.0,24718.0,386462
"Cherokee Nation, OK",164472.0,248381.0,284348.0,319474.0,380739.0,93285.0,430022.0,435739.0,149489.0,247467.0,74706.0,284686.0,3112808
"Chickasaw Nation, OK",134524.0,126755.0,130501.0,47153.0,115102.0,117828.0,125992.0,132919.0,144583.0,127591.0,132734.0,129668.0,1465350
"Choctaw Nation, OK",150268.0,144218.0,146644.0,150521.0,127212.0,139899.0,160342.0,140655.0,151787.0,147093.0,145444.0,156670.0,1760753
"Citizen Potawatomi Nation, OK",51135.0,42800.0,42627.0,49393.0,44352.0,50033.0,53426.0,46471.0,45728.0,49525.0,50217.0,50964.0,576671
"Inter-Tribal Council, OK",51418.0,47375.0,46499.0,45471.0,42418.0,43026.0,43496.0,41652.0,42902.0,45082.0,44136.0,43495.0,536970
"Muscogee Creek Nation, OK",118322.0,166223.0,62098.0,118311.0,104160.0,105246.0,109328.0,100891.0,108851.0,107638.0,102278.0,112180.0,1315526
"Osage Tribal Council, OK",185432.0,75743.0,139225.0,135435.0,127267.0,100038.0,152694.0,125860.0,139107.0,125294.0,132701.0,226293.0,1665089
"Otoe-Missouria Tribe, OK",23466.0,17085.0,30564.0,16902.0,25944.0,-4446.0,18677.0,26190.0,19387.0,16243.0,19603.0,26265.0,235880
"Wichita, Caddo & Delaware (WCD), OK",150827.0,139883.0,136354.0,151048.0,134162.0,140433.0,146602.0,136455.0,146835.0,139661.0,136324.0,138870.0,1697454
Colorado,5086580.0,3741723.0,2161978.0,3574186.0,3476010.0,4857677.0,2116230.0,3636267.0,4818123.0,3501972.0,2211331.0,3511752.0,42693829
Iowa,858626.0,2073894.0,2048206.0,2201332.0,1737706.0,1763016.0,1832260.0,1689150.0,1884487.0,2163625.0,2087441.0,2056859.0,22396602
Kansas,2405415.0,2267180.0,2340824.0,2323226.0,2023740.0,2176370.0,2276080.0,2085182.0,2269709.0,2193928.0,2192808.0,2315527.0,26869989
Missouri,2022670.0,8379242.0,1754300.0,4969059.0,4488283.0,4408644.0,4255548.0,4396777.0,4676987.0,4225344.0,4381821.0,7388077.0,55346752
Montana,727369.0,760852.0,1046595.0,492613.0,723958.0,731348.0,685445.0,726254.0,679436.0,999326.0,1027546.0,669670.0,9270412
Nebraska,1502760.0,1568711.0,945704.0,2350502.0,1545573.0,1579337.0,1459121.0,2260653.0,744818.0,1451924.0,1499114.0,1472969.0,18381186
North Dakota,457954.0,509876.0,593565.0,766930.0,328085.0,788833.0,523549.0,350057.0,819985.0,337440.0,821994.0,305919.0,6604187
South Dakota,764754.0,771868.0,785453.0,817270.0,741672.0,731916.0,763644.0,724181.0,767414.0,714622.0,1091737.0,568060.0,9242591
Utah,2112056.0,2032832.0,2253035.0,2089769.0,2042397.0,2294870.0,2041598.0,2024267.0,2298282.0,1955169.0,2221619.0,2360768.0,25726662
Wyoming,469618.0,301891.0,335824.0,311476.0,152289.0,320138.0,305947.0,484395.0,161635.0,457366.0,311161.0,170044.0,3781784
"Ute Mountain Ute Tribe, CO",12368.0,11761.0,11021.0,11907.0,11361.0,11626.0,11464.0,10588.0,12203.0,10910.0,11119.0,11239.0,137567
"Omaha Sioux, NE",19703.0,18573.0,18802.0,19159.0,16474.0,17942.0,17586.0,18563.0,19136.0,20782.0,17422.0,22834.0,226976
"Santee Sioux, NE",8005.0,9363.0,8875.0,9785.0,8925.0,9547.0,10322.0,10266.0,9440.0,10136.0,9561.0,9506.0,113731
"Winnebago Tribe, NE",18316.0,17003.0,15376.0,18163.0,14046.0,15234.0,15580.0,16574.0,17523.0,18569.0,18212.0,17165.0,201761
"Standing Rock Sioux Tribe, ND",40569.0,38012.0,33474.0,38858.0,35276.0,36069.0,34977.0,44823.0,33469.0,32907.0,44472.0,52082.0,464988
"Three Affiliated Tribes, ND",17833.0,16940.0,17326.0,17323.0,18413.0,18417.0,17562.0,20012.0,21466.0,20583.0,22273.0,22034.0,230182
"Cheyenne River Sioux, SD",41286.0,42917.0,43001.0,40738.0,44198.0,46234.0,44624.0,49158.0,55369.0,54050.0,53512.0,51666.0,566753
"Rosebud Sioux, SD",59456.0,79572.0,64309.0,73441.0,63737.0,68057.0,64697.0,69390.0,58816.0,80510.0,64619.0,82072.0,828676
"Northern Arapahoe, WY",22300.0,20556.0,18252.0,20635.0,18018.0,19162.0,21131.0,20822.0,21448.0,17216.0,18233.0,17798.0,235571
"Shoshone Tribe, WY",10883.0,10576.0,10188.0,10725.0,10748.0,10815.0,9085.0,8638.0,8570.0,25053.0,22852.0,28523.0,166656
Mountain Plains,16658521.0,22673342.0,14506108.0,20157097.0,17500909.0,19905252.0,16506450.0,18646017.0,19378316.0,18291432.0,18128847.0,21134564.0,223486855
Alaska,1251195.0,753690.0,1163887.0,827603.0,710136.0,1053304.0,1225336.0,1027098.0,1089497.0,1120034.0,1087349.0,811169.0,12120298
American Samoa,451528.0,444868.0,525942.0,453743.0,381922.0,455721.0,441084.0,435071.0,443441.0,441740.0,435490.0,448303.0,5358853
Arizona,7307560.0,6668110.0,4019185.0,9635416.0,6115899.0,6477673.0,6379153.0,6130913.0,3479496.0,9479008.0,6343427.0,7090461.0,79126301
California,57797645.0,55646273.0,55037406.0,56217613.0,52783036.0,54785878.0,55538764.0,52671166.0,53518938.0,52208722.0,51647462.0,51892264.0,649745167
Guam,581268.0,540987.0,544128.0,559407.0,554535.0,575554.0,571087.0,549228.0,562912.0,561253.0,564805.0,555620.0,6720784
Hawaii,1627016.0,1615656.0,1679488.0,1192839.0,2054817.0,1119446.0,1554390.0,2009820.0,1591950.0,1492001.0,1614000.0,1630482.0,19181905
Idaho,1462485.0,1461927.0,1452414.0,1475687.0,1341807.0,948797.0,1866800.0,1357638.0,869448.0,1798816.0,1320172.0,836494.0,16192485
Nevada,2731070.0,2548076.0,2622198.0,2678830.0,2310267.0,2473028.0,2482686.0,2410449.0,2414273.0,2471261.0,2418917.0,2410689.0,29971744
Oregon,3832901.0,3642919.0,3898775.0,3689920.0,3284550.0,3491103.0,3089394.0,2832020.0,3583542.0,3258557.0,3196435.0,3933749.0,41733865
Washington,7593554.0,7205458.0,7315086.0,7548169.0,6844786.0,7051603.0,7099856.0,6836729.0,7075694.0,6899569.0,6857746.0,7387447.0,85715697
Northern Marianas,247674.0,224750.0,225244.0,224804.0,186662.0,233163.0,277910.0,229707.0,180208.0,268073.0,225891.0,228952.0,2753038
"Inter-Tribal Council, AZ",389700.0,188072.0,386856.0,333141.0,320241.0,362526.0,329836.0,368682.0,392769.0,546052.0,357255.0,370924.0,4346054
"Navajo Nation, AZ",285272.0,844920.0,476162.0,412129.0,82389.0,22497.0,1064620.0,368663.0,396141.0,381745.0,380571.0,244392.0,4959501
"Inter-Tribal Council, NV",71211.0,44622.0,20997.0,44562.0,63694.0,-8152.0,64197.0,72064.0,5550.0,49625.0,47520.0,37381.0,513271
