State Agency or Indian Tribal Organization,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,Cumulative Average
Virginia,55.2798,32.8497,12.9297,54.6002,33.088,12.5559,51.7251,14.4867,38.2363,51.5222,33.9618,32.6025,35.35762200034239
Virgin Islands,79.2362,81.1447,79.6941,91.7938,70.1441,83.8649,70.3809,87.953,65.0093,97.5824,61.9201,79.226,79.0309687718248
West Virginia,60.8205,37.8388,23.2561,38.2295,37.9265,40.2686,58.1752,38.6842,41.2321,39.4029,38.474,39.1028,41.14831511210235
Alabama,30.9238,64.2842,30.9241,46.281,45.0308,49.511,42.9267,46.4949,47.6567,44.7314,49.3926,48.321,45.51947424349272
Florida,41.733,42.074,41.505,42.0282,39.7562,40.537,41.7774,41.8055,42.1312,43.1003,41.6894,46.2438,42.03115570758199
Georgia,40.7087,40.2457,39.6159,41.9405,38.7697,39.0512,39.685,37.8864,41.2655,38.3035,36.6484,41.2343,39.617492232650235
Kentucky,19.1816,40.5259,62.7897,19.6605,38.2153,39.4073,40.968,39.231,40.3146,40.5638,61.5829,39.8349,40.14884302363241
Mississippi,57.0171,47.0332,49.7662,64.7463,52.7148,59.0185,51.3123,62.154,50.1556,52.3021,57.5875,42.5708,53.84295787899496
North Carolina,43.894,41.543,42.8581,36.3492,39.5435,45.0608,44.0062,40.4446,45.2066,43.7498,42.5731,47.7575,42.743217861118275
South Carolina,45.2612,62.2299,26.5914,47.2682,56.3236,36.3142,40.3269,44.0338,46.0026,43.5003,52.9188,38.4838,44.96089669779143
Tennessee,64.1723,40.1779,39.2941,14.637,39.2942,39.1169,38.7088,64.5861,15.5603,64.0118,39.65,39.4385,41.62524974460244
"Choctaw Indians, MS",43.1386,43.1825,35.4993,40.6846,33.9212,37.2598,41.9225,44.895,41.5535,37.0085,41.7394,42.5283,40.40352088367276
"Eastern Cherokee, NC",43.5172,30.9466,33.136,38.5164,44.9665,41.6414,37.1507,33.4272,40.764,35.2487,46.4056,20.4,37.08744769874477
Illinois,63.1971,54.2815,53.4476,47.3809,40.9654,60.7498,45.2499,75.012,45.3003,41.59,40.8547,57.1221,52.158455414000954
Indiana,40.6197,38.4415,38.5633,37.3796,32.4398,35.9673,36.9403,33.5772,36.3772,35.5553,33.621,34.3476,36.1717446997437
Michigan,38.2296,38.9408,38.939,38.3263,36.6764,37.1896,36.9677,40.1933,38.3853,40.911,39.5031,38.966,38.600958518442724
Minnesota,20.0033,39.0196,50.5478,44.1004,40.2067,47.5257,41.0707,39.4677,48.9454,47.7607,54.6916,55.0155,43.980916060687676
Ohio,32.7103,9.6131,32.1798,52.5585,30.6394,32.1268,31.3617,12.3224,31.0562,31.8022,32.3721,51.7121,31.674268895808112
Wisconsin,42.4188,41.0878,41.1015,41.7991,39.1858,37.3302,38.3467,37.9269,57.881,17.3735,38.5497,61.5195,41.23095913458138
Arkansas,42.9374,43.057,43.5898,44.2888,41.4502,42.3267,42.0896,44.2681,42.9738,43.4027,43.8328,42.8901,43.09381931110964
Louisiana,48.9518,47.8276,47.1907,48.0485,49.1349,45.5164,44.2445,46.5592,49.9931,72.6185,18.0701,47.7793,47.1416204766431
New Mexico,33.8471,33.9882,16.2627,35.5056,33.2363,52.2495,12.4409,52.5429,34.1954,35.2768,36.0475,42.9053,34.84100145038586
Oklahoma,40.0103,39.8646,36.3383,40.0925,35.7474,33.7325,38.6758,34.7378,26.8735,27.4154,33.2564,36.4078,35.25030026279836
Texas,,,,,,,,,,,,, 
Texas,42.5334,22.4927,31.4909,24.5402,28.8285,29.7216,20.482,48.7333,9.972,42.8234,15.1169,41.0708,29.81383300156147
"Acoma, Canoncito & Laguna, NM",34.2609,41.1327,69.3913,48.9904,39.1061,52.4232,59.2865,58.6015,78.6273,35.0877,55.9866,50.2526,51.777897457992246
"Eight Northern Pueblos, NM",57.8515,57.4373,59.8301,62.2143,59.0551,56.3578,62.1941,63.0042,63.7124,65.6549,65.8419,58.5267,60.91153846153846
"Five Sandoval Pueblos, NM",62.0398,59.29,40.4357,54.3242,50.7033,52.0975,61.2438,47.3074,59.3952,50.1641,69.968,60.4195,55.44403608419646
"Isleta Pueblo, NM",48.149,47.8071,50.0516,47.5195,43.7324,41.4188,46.5907,47.5172,44.7784,45.6718,65.2865,47.3641,48.07202061712057
"San Felipe Pueblo, NM",36.2552,51.0,51.0821,56.1748,76.3883,65.0932,29.5666,133.8298,69.9861,90.0561,95.5333,79.3681,69.43117408906883
"Santo Domingo Tribe, NM",73.1215,72.051,67.4712,81.1484,64.6118,70.2048,77.1657,90.8235,86.6506,100.9766,84.4045,212.6568,89.46052009456265
"Zuni Pueblo, NM",56.0599,54.296,51.4653,49.5622,44.8411,50.4633,51.5239,51.2537,47.5758,51.929,48.4663,42.3253,50.040398808753075
"Cherokee Nation, OK",22.5397,34.7678,40.3159,45.2962,55.5986,13.4049,64.7916,64.8711,21.38,34.6738,10.3614,39.392,36.936753921731494
"Chickasaw Nation, OK",35.5978,34.0282,35.4815,12.7269,31.0918,32.3348,33.6967,34.4171,37.7206,33.2355,33.3754,32.7941,32.25014855734313
"Choctaw Nation, OK",37.4267,35.5918,36.7529,37.5271,31.6763,35.1152,39.7674,35.1901,37.4968,36.8193,35.2335,38.0822,36.39272870075648
"Citizen Potawatomi Nation, OK",40.5511,36.0269,36.2474,39.7689,35.51,38.9969,41.5443,36.5913,35.3385,38.8431,37.4754,36.3509,37.77485916415564
"Inter-Tribal Council, OK",58.1652,54.3291,55.2245,54.0036,52.4326,53.053,55.6215,54.4471,55.4289,57.7974,56.1527,56.0503,55.22678185745141
"Muscogee Creek Nation, OK",41.8543,58.5911,22.0284,41.4254,36.7537,37.3478,40.0762,37.1332,39.8138,39.5728,36.8968,39.6816,39.28233151183971
"Osage Tribal Council, OK",66.0606,27.3836,49.8836,48.5778,45.5827,35.6515,54.6311,44.95,49.6102,45.3964,46.1248,78.0052,49.42823641167216
"Otoe-Missouria Tribe, OK",46.745,35.3727,69.9405,35.286,54.7342,-9.4195,39.5699,55.9615,41.3369,37.5127,40.0061,57.4726,41.852377572746626
"Wichita, Caddo & Delaware (WCD), OK",38.1358,35.7757,35.0254,37.5835,33.4569,35.161,36.974,33.8682,35.8047,34.7935,33.6686,35.5166,35.47522414261531
Colorado,56.1129,42.1465,24.7284,41.2924,40.2689,55.9892,24.5836,42.3427,56.1789,41.2915,25.5545,40.8125,40.988266252948556
Iowa,13.6687,33.4575,33.2469,35.9003,28.6443,28.9831,30.6429,28.0175,31.0347,35.8727,34.0495,33.0074,30.514703097303535
Kansas,39.1947,37.7945,39.1024,38.9999,34.1629,37.3741,39.0047,35.807,38.7713,38.3032,37.3676,39.85,37.981091430291876
Missouri,15.3046,64.1419,13.5055,38.4876,35.0207,34.4563,33.5563,35.0525,37.2469,34.0938,34.8145,59.063,36.15988375891474
Montana,39.9258,41.3799,56.3929,26.4263,39.1795,39.6094,37.916,40.2714,37.4469,55.794,56.3873,36.3773,42.225374181264975
Nebraska,40.9483,42.0104,25.0041,61.7594,41.1177,41.9936,39.2839,60.8553,19.8682,38.9778,39.7032,38.9088,40.86860413150926
North Dakota,39.5299,44.3679,49.7248,63.0803,27.2134,65.3386,43.5094,28.9471,67.4441,28.1834,66.8777,24.9954,45.834399811226476
South Dakota,43.906,45.2099,46.1434,47.029,43.4769,42.7047,44.5924,42.3969,44.9542,42.4814,63.1975,32.9597,44.932818987058695
Utah,36.3865,35.4374,39.9836,37.1991,36.044,40.3721,36.0617,35.964,40.7417,35.1744,39.4303,41.9103,37.88843185161949
Wyoming,45.5233,29.5392,32.8724,30.4384,14.9288,31.157,29.8835,47.513,15.8248,45.7229,30.9428,16.8661,30.93509149359095
"Ute Mountain Ute Tribe, CO",58.3396,54.7023,59.573,59.535,56.2426,58.7172,58.4898,56.0212,58.1095,51.7062,60.1027,63.1404,57.77698446031079
"Omaha Sioux, NE",80.0935,80.4026,83.1947,77.8821,73.2178,77.671,78.5089,72.7961,73.0382,76.6863,57.8804,83.9485,75.91170568561873
"Santee Sioux, NE",66.7083,70.9318,67.2348,73.0224,69.7266,74.5859,76.4593,76.0444,70.9774,74.5294,70.3015,72.0152,71.93611638203669
"Winnebago Tribe, NE",62.726,65.1456,61.751,66.7757,61.8767,57.4868,63.8525,63.9923,68.1829,65.6148,61.1141,67.8458,63.848417721518985
"Standing Rock Sioux Tribe, ND",59.6603,56.3141,51.1835,58.7867,56.5321,57.0712,54.9953,72.0627,54.4211,51.5784,68.3134,80.7473,60.13035044613992
"Three Affiliated Tribes, ND",77.5348,78.7907,78.7545,82.8852,91.607,90.7241,82.0654,89.3393,83.8516,77.6717,84.0491,76.7735,82.53209035496593
"Cheyenne River Sioux, SD",56.019,58.3111,59.1486,53.0443,57.1772,58.0829,56.8459,61.2179,67.7711,66.7284,64.7062,69.8189,60.81693314733341
"Rosebud Sioux, SD",46.5591,63.3031,51.6953,58.6589,52.3722,58.4682,54.1851,58.9049,51.0556,70.2531,55.0417,70.2671,57.455175760937394
"Northern Arapahoe, WY",50.6818,47.0389,42.25,47.5461,41.612,45.6238,48.9144,47.4305,50.4659,43.04,45.1312,44.0545,46.19039215686274
"Shoshone Tribe, WY",62.1886,54.5155,64.0755,63.8393,68.0253,66.3497,54.4012,51.7246,45.8289,153.6994,141.0617,156.7198,81.49437652811736
Mountain Plains,33.0731,45.5637,29.3096,40.8415,35.6711,40.592,33.9285,38.45,39.8408,38.091,37.0936,43.3115,37.97234040781804
Alaska,64.7616,39.2322,61.7119,43.7376,37.5475,54.9942,64.0531,53.4501,56.0354,58.6282,56.7391,42.6594,52.823034111858306
American Samoa,74.3378,73.3379,87.5111,75.3601,63.2112,74.9295,74.1941,72.73,74.7919,74.9983,73.1547,75.6247,74.50923222379801
Arizona,47.4,44.5075,27.27,66.0335,42.5851,45.0608,44.7826,42.7259,24.0821,66.1803,43.4529,48.8876,45.23219152867145
California,47.0358,46.7177,46.2227,47.025,44.93,46.3762,47.7286,45.3859,46.0568,45.7875,44.3418,45.3165,46.086123565352594
Guam,78.5497,75.7473,76.627,79.2473,77.5465,78.8646,77.0178,75.7243,77.3443,79.3066,78.1304,76.9877,77.58928653890557
Hawaii,53.619,52.8752,55.0562,39.0506,67.7196,36.8469,51.6597,67.4459,53.5073,50.8538,53.7194,54.8836,53.075632181999794
Idaho,36.3667,36.6077,36.4699,37.4397,34.2893,24.116,47.8409,35.1674,22.5608,47.3136,34.6266,22.0449,34.59053146742602
Nevada,37.9405,36.1168,37.6336,38.4585,33.5118,35.7374,36.2018,35.3869,35.442,36.4074,35.5216,35.3748,36.15662374448393
Oregon,39.8108,38.4343,41.7048,40.2698,36.3078,38.2239,33.7318,30.7314,38.4901,35.1497,34.1284,42.609,37.47979574370253
Washington,43.4319,42.3318,42.9715,44.3423,40.6646,41.2785,42.1109,40.8519,42.0664,41.8404,41.141,44.47,42.2967816908706
Northern Marianas,75.1438,72.0353,71.8253,70.1417,58.2772,71.6103,84.9358,68.6102,54.9918,84.0618,69.4622,70.317,70.93630507601134
"Inter-Tribal Council, AZ",41.5104,20.6514,42.1045,35.5692,35.3662,39.3836,35.7585,39.1673,40.1276,56.5916,36.3841,39.0487,38.56269243396243
"Navajo Nation, AZ",30.4031,90.8126,52.4407,45.0316,9.4073,2.5204,124.1974,43.5823,46.0094,44.1069,43.5087,29.4803,46.8160115541459
"Inter-Tribal Council, NV",48.7079,31.3797,15.3375,31.5819,46.594,-6.0296,48.1959,52.2961,3.97,35.2701,34.261,27.2456,30.81413219667407
