State Agency or Indian Tribal Organization,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,Cumulative Cost
Virginia,2619159.0,3147172.0,2582170.0,2627262.0,2999649.0,2385082.0,2514901.0,29833.0,1924747.0,1438404.0,566389.0,2654982.0,25489750
Virgin Islands,161300.0,74073.0,75940.0,52734.0,75771.0,76877.0,78049.0,62687.0,149887.0,73161.0,75842.0,69871.0,1026192
West Virginia,1031799.0,104119.0,912569.0,1048702.0,980845.0,726591.0,748536.0,1762135.0,248838.0,872640.0,1654517.0,1045520.0,11136811
Alabama,2953670.0,2748447.0,3048135.0,2545173.0,2829776.0,2997308.0,2533914.0,2393734.0,2477209.0,2529925.0,4559611.0,1805479.0,33422381
Florida,7925508.0,7914169.0,8937184.0,7027613.0,8588060.0,5631970.0,4045430.0,15457156.0,9602552.0,9886036.0,9702946.0,10184966.0,104903590
Georgia,5496023.0,5395237.0,6007667.0,4837526.0,5618363.0,5826776.0,4875789.0,5510438.0,10969363.0,,5233777.0,6148897.0,65919856
Kentucky,2443339.0,2377873.0,0.0,4703960.0,2393703.0,2391736.0,2117965.0,2539645.0,4846696.0,0.0,2372861.0,2596342.0,28784120
Mississippi,,,,,,,,,,,,, 
North Carolina,4612529.0,4510666.0,5792955.0,3967224.0,5182895.0,5234307.0,2346847.0,6883972.0,5152159.0,4747012.0,4136793.0,4842639.0,57409998
South Carolina,2506527.0,2451706.0,2557944.0,2340768.0,2414502.0,2473187.0,2277578.0,2340280.0,2355610.0,2396517.0,2343941.0,2586252.0,29044812
Tennessee,6400190.0,0.0,3207864.0,3095498.0,3088676.0,3072805.0,3033343.0,3038586.0,6101100.0,0.0,3049821.0,3363350.0,37451233
"Choctaw Indians, MS",,,,,,,,,,,,, 
"Eastern Cherokee, NC",8618.0,8719.0,8571.0,7488.0,7510.0,8891.0,4008.0,12333.0,8467.0,7093.0,8325.0,5239.0,95262
Illinois,6303940.0,6259768.0,6373948.0,6095433.0,6181446.0,6562084.0,5717809.0,6286355.0,6158710.0,6077534.0,6030869.0,6716267.0,74764163
Indiana,3264896.0,3081519.0,,6492941.0,,6712433.0,2866911.0,3223471.0,3236638.0,3245688.0,3082651.0,3656396.0,38863544
Michigan,5223584.0,5099854.0,4954550.0,5239209.0,4830702.0,5080618.0,5012419.0,4408802.0,5242327.0,4802172.0,4963541.0,4822840.0,59680618
Minnesota,2435701.0,2226696.0,2617725.0,2146927.0,2411223.0,2333632.0,2092854.0,2469991.0,2421512.0,2325881.0,2207324.0,2473677.0,28163143
Ohio,10556212.0,35691.0,5885459.0,4557378.0,5341404.0,5456326.0,5190959.0,5056917.0,5300392.0,5059724.0,5558582.0,4518628.0,62517672
Wisconsin,3751928.0,61177.0,2036576.0,1855668.0,1990247.0,2004650.0,1720823.0,1900912.0,3661896.0,28713.0,1770360.0,2043091.0,22826041
Arkansas,4355382.0,1902563.0,2219377.0,1813612.0,2097042.0,2122511.0,1810248.0,1976987.0,2131348.0,2056353.0,1955652.0,2343405.0,26784480
Louisiana,2574688.0,4273727.0,3587986.0,3091903.0,3210612.0,3318251.0,0.0,5689294.0,3934549.0,3300533.0,3345102.0,3431580.0,39758225
New Mexico,2081037.0,997718.0,1015413.0,944835.0,1002092.0,1024133.0,895073.0,1035530.0,972859.0,990349.0,950355.0,0.0,11909394
Oklahoma,1899497.0,1261869.0,2092636.0,1897675.0,1534482.0,2097094.0,1684431.0,1484352.0,2018928.0,1673190.0,1651204.0,1689228.0,20984586
Texas,,,,,,,,,,,,, 
Texas,17880318.0,992792.0,19749936.0,32359685.0,6433046.0,27711311.0,7968591.0,28890796.0,19704573.0,9740513.0,26975175.0,16946121.0,215352857
"Acoma, Canoncito & Laguna, NM",,,,,,,,,,,,, 
"Eight Northern Pueblos, NM",,,,,,0.0,,,,,,, 
"Five Sandoval Pueblos, NM",2102.0,1436.0,1778.0,15.0,4503.0,1688.0,5.0,3837.0,1798.0,1542.0,48.0,7723.0,26475
"Isleta Pueblo, NM",9626.0,9506.0,10630.0,10137.0,9428.0,9664.0,8935.0,9284.0,9289.0,10452.0,10069.0,10414.0,117434
"San Felipe Pueblo, NM",0.0,,,,,,,,,,,, 
"Santo Domingo Tribe, NM",,,,,,,,,,,,, 
"Zuni Pueblo, NM",3106.0,2626.0,2668.0,2846.0,2408.0,2613.0,2452.0,2549.0,2596.0,2684.0,2834.0,2416.0,31798
"Cherokee Nation, OK",154485.0,167858.0,162743.0,130005.0,0.0,352150.0,0.0,302967.0,167780.0,158108.0,144434.0,0.0,1740530
"Chickasaw Nation, OK",68510.0,64726.0,80497.0,80081.0,85857.0,0.0,73891.0,79977.0,243894.0,0.0,78282.0,86464.0,942179
"Choctaw Nation, OK",6430.0,93609.0,104298.0,84320.0,91998.0,102011.0,78929.0,82747.0,79939.0,82589.0,75662.0,83247.0,965779
"Citizen Potawatomi Nation, OK",22043.0,22566.0,23815.0,18068.0,19167.0,31067.0,41167.0,24884.0,25544.0,25185.0,25124.0,31911.0,310541
"Inter-Tribal Council, OK",640.0,11825.0,7163.0,5435.0,5675.0,6614.0,5537.0,6176.0,6588.0,6668.0,6108.0,6555.0,74984
"Muscogee Creek Nation, OK",47443.0,45751.0,58760.0,49759.0,54141.0,58495.0,49797.0,51934.0,0.0,114687.0,51740.0,62177.0,644684
"Osage Tribal Council, OK",,,,,,,,,,,,, 
"Otoe-Missouria Tribe, OK",,,,,,18831.0,,,26544.0,,25023.0,9686.0,80084
"Wichita, Caddo & Delaware (WCD), OK",144662.0,0.0,0.0,161459.0,79403.0,86180.0,68040.0,71838.0,152688.0,0.0,71437.0,86363.0,922070
Colorado,1637150.0,1611944.0,1682587.0,1575386.0,0.0,3247709.0,1578579.0,1614685.0,1649369.0,1641137.0,0.0,3275924.0,19514470
Iowa,89015.0,1355803.0,1496831.0,1293290.0,1478512.0,1768985.0,1235393.0,1402869.0,1412574.0,1357867.0,1319097.0,1484748.0,15694984
Kansas,111244.0,1289016.0,1477750.0,1189816.0,1324178.0,1454250.0,1178033.0,1325548.0,1341126.0,1301901.0,1265624.0,2563176.0,15821662
Missouri,8062329.0,2872954.0,1102488.0,2814911.0,2948274.0,2961791.0,2800638.0,2857515.0,2900341.0,2893733.0,2877810.0,0.0,35092784
Montana,609572.0,46695.0,374913.0,605108.0,365870.0,324845.0,330797.0,320353.0,681335.0,0.0,287824.0,313864.0,4261176
Nebraska,710538.0,692481.0,787229.0,645904.0,764257.0,726641.0,640111.0,728947.0,737947.0,713559.0,692480.0,781160.0,8621254
North Dakota,206657.0,212776.0,220652.0,213492.0,214570.0,217324.0,201878.0,216633.0,210164.0,216494.0,207486.0,220764.0,2558890
South Dakota,316863.0,301401.0,330406.0,288269.0,0.0,676557.0,288371.0,325602.0,336608.0,319112.0,312701.0,350708.0,3846598
Utah,937993.0,923746.0,936173.0,876253.0,898493.0,896343.0,864923.0,874895.0,869518.0,830739.0,844778.0,830698.0,10584552
Wyoming,190384.0,194305.0,179499.0,215455.0,178143.0,202076.0,192306.0,197987.0,195476.0,189273.0,163552.0,200211.0,2298667
"Ute Mountain Ute Tribe, CO",,,,,,,,,,,,, 
"Omaha Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,, 
"Santee Sioux, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Winnebago Tribe, NE",0.0,,0.0,,0.0,,0.0,0.0,,,,, 
"Standing Rock Sioux Tribe, ND",6698.0,5435.0,4647.0,6422.0,3443.0,4902.0,5550.0,3610.0,7717.0,5594.0,5706.0,7664.0,67388
"Three Affiliated Tribes, ND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
"Cheyenne River Sioux, SD",4020.0,4512.0,0.0,9869.0,5685.0,5499.0,5309.0,5374.0,0.0,10034.0,5052.0,5755.0,61109
"Rosebud Sioux, SD",29025.0,12910.0,8219.0,12604.0,3096.0,14825.0,0.0,33463.0,6199.0,13545.0,0.0,16247.0,150133
"Northern Arapahoe, WY",,,,,,,,,,,,, 
"Shoshone Tribe, WY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, 
Mountain Plains,12911488.0,9523978.0,8601394.0,9746779.0,8184521.0,12501747.0,9321888.0,9907481.0,10348374.0,9492988.0,7982110.0,10050919.0,118573667
Alaska,278161.0,312961.0,290675.0,251459.0,267598.0,481077.0,228291.0,243472.0,232775.0,215101.0,25987.0,292445.0,3120002
American Samoa,83455.0,74977.0,80551.0,81191.0,70405.0,81455.0,70719.0,77981.0,74042.0,76777.0,67071.0,79207.0,917831
Arizona,6555068.0,3623291.0,226844.0,6312116.0,3509939.0,3113971.0,210420.0,6387956.0,258950.0,3357660.0,3274985.0,3598122.0,40429322
California,20133596.0,19311631.0,21098887.0,17626820.0,20766208.0,20840503.0,18197377.0,18554313.0,20612428.0,19457697.0,18933657.0,20367136.0,235900253
Guam,158714.0,152451.0,166947.0,147646.0,162287.0,145157.0,151895.0,159859.0,169448.0,159426.0,157535.0,161155.0,1892520
Hawaii,583306.0,32696.0,658822.0,1160012.0,32086.0,1105025.0,32979.0,1126013.0,51002.0,1051592.0,594960.0,57269.0,6485762
Idaho,1291781.0,36543.0,675752.0,639633.0,648729.0,655466.0,642959.0,635367.0,620969.0,618901.0,615935.0,636216.0,7718251
Nevada,1435066.0,1387693.0,1453452.0,1328147.0,1412868.0,1401099.0,1221938.0,1455296.0,1316957.0,1389119.0,1310707.0,1387310.0,16499652
Oregon,1384892.0,1594423.0,1355541.0,1371863.0,1414959.0,1366350.0,1349218.0,1424670.0,1370730.0,1230905.0,1413941.0,2197397.0,17474889
Washington,2680912.0,2458476.0,2804685.0,2270374.0,2567427.0,2691589.0,2200407.0,2346365.0,2321911.0,2316330.0,2188848.0,2243879.0,29091203
Northern Marianas,109745.0,1232.0,57182.0,52570.0,50840.0,64385.0,47095.0,57420.0,48624.0,115463.0,53999.0,605.0,659160
"Inter-Tribal Council, AZ",383081.0,13482.0,367153.0,195884.0,188409.0,14652.0,347309.0,191693.0,197228.0,186813.0,17736.0,210443.0,2313883
"Navajo Nation, AZ",3411.0,447183.0,4164.0,137318.0,298976.0,,269145.0,4149.0,144049.0,286166.0,6296.0,279313.0,1880170
"Inter-Tribal Council, NV",18378.0,22957.0,27398.0,21369.0,21916.0,24596.0,23770.0,25333.0,25373.0,26122.0,26831.0,19114.0,283157
