State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Average
"Isleta Pueblo, NM",42.043,44.568,47.5325,47.1611,44.0276,48.124,46.0441,46.0516,46.801,48.2759,49.7659,46.8807,46.50233309404164
"San Felipe Pueblo, NM",48.9346,48.0098,57.7889,43.2952,76.2453,55.3792,51.4488,52.8689,68.0714,46.1818,79.3511,74.0722,58.2018244013683
"Santo Domingo Tribe, NM",79.067,80.5333,77.9903,77.315,76.9559,71.4646,61.955,69.0677,71.0,78.5226,85.9427,132.449,80.12847514743049
"Zuni Pueblo, NM",56.0223,55.5522,55.9961,56.7577,56.8078,48.8082,54.3351,54.9203,54.5067,55.4446,54.4855,55.7077,54.969323069956985
"Cherokee Nation, OK",38.2499,39.7725,41.5256,44.1454,32.2041,40.4186,43.2776,49.164,78.0471,66.671,6.1021,46.0885,43.73049556717436
"Chickasaw Nation, OK",13.2349,35.4302,34.0762,37.9883,37.2322,46.3183,22.3209,39.329,35.5405,34.8824,34.3259,36.525,33.848588391064794
"Choctaw Nation, OK",39.5574,41.4125,38.5885,38.488,37.7114,34.3423,38.6824,37.6147,38.0623,35.1783,40.3845,13.9111,36.173776712602354
"Citizen Potawatomi Nation, OK",39.9328,44.1587,43.1545,47.7023,41.2447,50.4087,45.2734,46.9771,42.3328,49.2826,44.4689,42.2506,44.799562425012354
"Inter-Tribal Council, OK",56.7927,51.6093,56.0348,61.2123,53.1232,61.5592,58.5654,53.0532,55.9736,54.7978,57.1576,57.071,56.37432117920869
"Muscogee Creek Nation, OK",43.6947,47.9287,48.6487,59.2247,45.5665,61.1963,29.7244,46.6188,45.5898,45.6168,46.7094,44.9097,47.11130424705951
"Osage Tribal Council, OK",48.9801,65.8765,31.9691,72.6934,27.1111,65.823,46.8592,28.7318,61.5179,78.0441,42.8914,31.7766,50.440118639675184
"Otoe-Missouria Tribe, OK",44.7873,42.6672,58.5119,61.6357,42.4741,43.1286,21.7601,43.5821,46.1632,39.566,44.7935,41.2664,44.348588410104014
"Wichita, Caddo & Delaware (WCD), OK",38.0287,38.6691,36.55,41.9222,38.0719,37.1296,39.7433,39.7145,36.1696,38.2528,39.342,36.2095,38.324194003954325
Colorado,41.063,42.6975,41.3601,41.6812,40.963,39.0485,40.2923,40.0475,39.8324,57.5523,40.0738,22.3773,40.59545590881824
Iowa,36.887,37.3,32.0655,36.305,33.9573,35.989,37.0172,34.1809,33.1519,35.4746,36.004,12.798,33.4352159552492
Kansas,59.7941,23.6393,37.4124,40.5381,38.9043,35.628,40.9772,38.6677,38.5861,37.4832,41.2776,19.0383,37.77597220599568
Missouri,16.7288,39.6977,36.0799,40.4366,35.5583,35.8491,39.5099,39.2609,37.8003,36.2619,40.0155,54.2952,37.5999849690712
Montana,58.402,44.0956,24.5875,42.3456,41.2949,40.7636,43.4876,41.8727,40.1462,41.6596,41.2767,51.444,42.6753057548671
Nebraska,43.999,46.7742,42.6123,45.393,44.2673,42.0079,45.6811,43.5879,43.6774,44.6034,46.0541,42.7324,44.29967738736515
North Dakota,50.7153,49.1364,46.0379,50.6289,48.0518,60.1114,48.8547,48.1907,29.9788,51.0677,50.8269,48.2487,48.49798830056025
South Dakota,50.9191,46.0925,42.3244,51.8637,42.874,44.003,48.9757,65.2879,29.5582,50.8563,40.1044,41.7127,46.288045423854776
Utah,39.0436,36.4851,35.2476,38.7607,34.7382,34.7092,35.8797,37.5248,33.4327,38.1921,36.7489,32.2735,36.10225050267887
Wyoming,16.7183,16.4711,48.6663,48.61,31.7519,31.9262,8.2621,49.1694,14.1072,32.7366,33.5933,34.1052,30.5268461344824
"Ute Mountain Ute Tribe, CO",49.9563,48.3779,41.0793,46.8521,50.7083,49.4246,52.6441,50.0103,49.9327,47.9484,47.5088,47.4887,48.50555308751666
"Omaha Sioux, NE",71.109,75.6041,72.2226,75.7967,69.5879,72.0404,75.4437,74.2112,73.5588,72.6582,70.9677,69.9783,72.73431533006001
"Santee Sioux, NE",69.9213,64.3692,67.7197,74.1695,69.8333,67.7769,72.0301,75.7761,71.979,72.558,68.8676,74.0609,70.72814910025707
"Winnebago Tribe, NE",62.5951,65.1624,64.7037,68.7793,66.5352,73.7957,73.181,72.2043,66.1472,65.8621,70.4743,44.4728,66.02716981132076
"Standing Rock Sioux Tribe, ND",37.4276,43.134,45.7904,55.25,53.1819,53.1124,54.5006,57.5381,50.865,34.8854,40.5818,50.0157,47.90296150049358
"Three Affiliated Tribes, ND",63.5389,71.885,60.5683,64.6906,68.8414,68.007,71.8619,73.0106,72.135,75.033,71.405,72.1797,69.24521838424208
"Cheyenne River Sioux, SD",69.1084,67.226,69.8526,71.5245,72.3784,68.8992,69.3396,63.2536,66.4194,67.2127,47.3634,62.8506,66.38050053374451
"Rosebud Sioux, SD",56.746,55.4337,56.9661,49.8516,49.5831,49.5675,47.3081,59.5633,62.3457,49.8435,52.6909,55.0613,53.75978071268378
"Northern Arapahoe, WY",51.7058,52.2649,46.2083,48.6742,42.9484,49.5955,43.794,53.117,47.2972,50.3459,52.3926,46.4746,48.76503583670925
"Shoshone Tribe, WY",57.484,60.8352,52.4513,49.0647,46.7808,43.4834,43.8927,53.3583,52.4293,55.4971,58.5829,66.0719,52.77875329236172
Mountain Plains,37.6533,38.2508,37.5305,41.3284,38.1117,37.7801,39.704,40.3724,36.9305,41.9706,40.0277,34.6304,38.69312693804314
Alaska,52.4551,50.2324,46.4584,35.2384,71.4871,61.5501,40.1059,64.6902,38.9423,51.7303,56.9731,36.5314,50.4806293736626
American Samoa,70.7777,69.7245,68.6525,69.7982,69.9851,67.6481,71.9884,69.685,68.19,69.3421,69.9684,67.0939,69.40749551566654
Arizona,44.5005,44.745,40.8153,43.6926,43.4452,40.3759,44.4156,43.587,41.8005,42.3502,45.8022,39.7054,42.95695818540495
California,45.3122,46.9659,45.0305,47.0067,47.4658,44.6659,46.9669,46.0496,45.5675,45.6861,46.7316,45.044,46.045749191171964
Guam,73.7598,76.3819,72.1516,76.3476,76.053,72.3579,74.9118,72.922,73.6423,72.6788,75.9374,71.9915,74.09749535868731
Hawaii,55.0524,56.1913,51.4857,55.221,53.482,48.7949,54.85,52.5057,53.1752,52.5832,37.4684,52.7134,51.9713157104855
Idaho,38.3328,38.2291,37.3472,38.2675,37.2058,35.5425,36.353,36.4327,35.3649,36.5967,36.1546,35.8994,36.826094321462946
Nevada,39.8496,38.5597,37.8635,38.0214,36.9276,37.1426,38.7645,36.4913,37.2986,37.1594,37.7928,36.1646,37.67046124848296
Oregon,41.2849,53.2525,28.1408,40.1881,39.1824,37.8419,52.1336,26.817,38.7175,38.9112,39.6025,42.8398,39.92981870579191
Washington,42.3745,43.1323,39.7549,42.3409,41.3127,38.9795,41.8524,40.9191,40.3417,40.0736,41.6208,42.7345,41.29213324937126
Northern Marianas,67.4164,69.1665,66.6754,70.3958,71.8056,68.7484,85.539,59.3646,70.0287,70.6242,84.3326,56.111,70.00847559029994
"Inter-Tribal Council, AZ",38.8572,39.6135,36.0534,38.1001,35.4195,33.9435,56.2621,21.3072,37.8901,38.9942,21.0781,59.2787,38.025938853125666
"Navajo Nation, AZ",58.6117,46.6865,48.0281,32.37,59.2864,32.4638,61.4942,61.6752,17.2843,46.2979,47.6522,44.4379,46.40546261308581
"Inter-Tribal Council, NV",19.8086,33.8706,38.1837,35.4412,28.835,45.0413,33.1902,36.0505,32.0661,35.359,40.2654,37.0369,34.60096122193693
