State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Cost
"Otoe-Missouria Tribe, OK",27589.0,26155.0,34405.0,35194.0,22936.0,23807.0,11881.0,23360.0,24605.0,20970.0,24950.0,22614.0,298466
"Wichita, Caddo & Delaware (WCD), OK",162991.0,161830.0,149782.0,176199.0,152059.0,152083.0,161199.0,164537.0,148187.0,158558.0,162679.0,149473.0,1899577
Colorado,4184034.0,4284093.0,4069258.0,4099723.0,3975216.0,3771148.0,3853195.0,3835228.0,3772684.0,5385395.0,3768857.0,2101316.0,47100147
Iowa,2482456.0,2481831.0,2081341.0,2409782.0,2219855.0,2358394.0,2406267.0,2241414.0,2176654.0,2340475.0,2388650.0,843787.0,26430906
Kansas,4494361.0,1735194.0,2728527.0,3029736.0,2644984.0,2455872.0,2810213.0,2701441.0,2654804.0,2590165.0,2858842.0,1306351.0,32010490
Missouri,2409940.0,5695228.0,5071714.0,5850726.0,4928981.0,4971839.0,5496940.0,5496174.0,5246422.0,5066265.0,5645508.0,7658560.0,63538297
Montana,1198234.0,890026.0,484324.0,846447.0,807729.0,789468.0,850182.0,831424.0,793972.0,828942.0,824130.0,1019569.0,10164447
Nebraska,1760313.0,1882426.0,1626041.0,1816309.0,1708584.0,1617009.0,1792526.0,1735625.0,1726482.0,1777088.0,1865789.0,1687330.0,20995522
North Dakota,648699.0,610421.0,542511.0,628305.0,578063.0,701380.0,596076.0,579108.0,357677.0,620983.0,615107.0,585305.0,7063635
South Dakota,1005653.0,900003.0,794767.0,987122.0,779706.0,792230.0,869515.0,1184845.0,530984.0,921363.0,718630.0,729889.0,10214707
Utah,2690220.0,2505143.0,2381501.0,2625610.0,2330311.0,2322950.0,2389447.0,2497091.0,2194052.0,2478972.0,2393420.0,2098716.0,28907433
Wyoming,192611.0,180902.0,544479.0,552258.0,350224.0,358403.0,92354.0,550550.0,158734.0,372477.0,381620.0,388527.0,4123139
"Ute Mountain Ute Tribe, CO",7993.0,8321.0,6737.0,7918.0,8519.0,8847.0,9318.0,9702.0,10386.0,10213.0,10737.0,10495.0,109186
"Omaha Sioux, NE",22186.0,22152.0,20439.0,22739.0,21781.0,21396.0,23463.0,22486.0,22509.0,22960.0,22000.0,22533.0,266644
"Santee Sioux, NE",8880.0,8368.0,8939.0,8752.0,8380.0,8811.0,9580.0,10154.0,10293.0,10013.0,9366.0,8517.0,110053
"Winnebago Tribe, NE",12832.0,12837.0,13976.0,15269.0,14172.0,13726.0,16173.0,16968.0,15280.0,15280.0,17830.0,10629.0,174972
"Standing Rock Sioux Tribe, ND",33872.0,37656.0,39105.0,47073.0,42971.0,42065.0,45072.0,49080.0,43693.0,29827.0,33480.0,41363.0,485257
"Three Affiliated Tribes, ND",20396.0,22500.0,19079.0,19860.0,19964.0,19382.0,19259.0,20662.0,19765.0,20484.0,19922.0,21293.0,242566
"Cheyenne River Sioux, SD",51002.0,49075.0,48827.0,51140.0,48204.0,49194.0,47983.0,44404.0,47357.0,46444.0,31023.0,45001.0,559654
"Rosebud Sioux, SD",77742.0,76554.0,75651.0,67200.0,65648.0,66123.0,61879.0,79517.0,82421.0,66890.0,69710.0,73617.0,862952
"Northern Arapahoe, WY",30403.0,29791.0,26616.0,27939.0,22462.0,26732.0,23167.0,27249.0,23554.0,25324.0,26825.0,22912.0,312974
"Shoshone Tribe, WY",10807.0,11072.0,10228.0,9862.0,10245.0,9175.0,8998.0,9978.0,10014.0,9490.0,10252.0,10109.0,120230
Mountain Plains,21342634.0,21443593.0,20594060.0,23123770.0,20585999.0,20404144.0,21421607.0,21943100.0,19897737.0,22639050.0,21711698.0,18685819.0,253793211
Alaska,1294277.0,1211504.0,1073840.0,820561.0,1642558.0,1419529.0,928852.0,1515757.0,907822.0,1183279.0,1142254.0,825536.0,13965769
American Samoa,462249.0,457532.0,446516.0,456620.0,457073.0,443501.0,476491.0,456785.0,445281.0,458282.0,457663.0,437922.0,5455915
Arizona,7686217.0,7432151.0,6538532.0,7116781.0,6849878.0,6372199.0,7023082.0,6979110.0,6713040.0,6844132.0,7459712.0,6363462.0,83378296
California,66582362.0,68172072.0,63418639.0,68263060.0,67665985.0,63414523.0,67441119.0,66188953.0,64509486.0,65373286.0,66889986.0,63265160.0,791184631
Guam,557698.0,568434.0,532623.0,577493.0,570093.0,549124.0,560490.0,542321.0,548267.0,545382.0,573935.0,539432.0,6665292
Hawaii,2078612.0,2085989.0,1843035.0,2027990.0,1908239.0,1710309.0,1981674.0,1917928.0,1911754.0,1925754.0,1378687.0,1912442.0,22682413
Idaho,1717234.0,1700123.0,1632670.0,1681512.0,1615995.0,1535009.0,1573465.0,1558918.0,1506086.0,1551809.0,1540077.0,1518258.0,19131156
Nevada,2965805.0,2842926.0,2769146.0,2818486.0,2707867.0,2720436.0,2844305.0,2697549.0,2740662.0,2738684.0,2802560.0,2687898.0,33336324
Oregon,4587168.0,5856282.0,3038251.0,4372702.0,4230526.0,4064032.0,5594042.0,2885641.0,4145406.0,4149098.0,4213466.0,4544750.0,51681364
Washington,8357868.0,8402724.0,7733802.0,8201217.0,7856760.0,7389273.0,7946632.0,7852816.0,7619346.0,7638512.0,7934884.0,8080975.0,95014809
Northern Marianas,294340.0,294995.0,281437.0,297352.0,296916.0,287712.0,350881.0,247669.0,292370.0,292243.0,348631.0,225959.0,3510505
"Inter-Tribal Council, AZ",416860.0,424221.0,364139.0,399175.0,341409.0,328200.0,550131.0,209535.0,379507.0,402849.0,217378.0,585911.0,4619315
"Navajo Nation, AZ",655337.0,509210.0,508377.0,355811.0,611243.0,345447.0,653253.0,655422.0,178996.0,486545.0,507591.0,452156.0,5919388
"Inter-Tribal Council, NV",25771.0,42406.0,46966.0,43132.0,35294.0,56707.0,41886.0,45712.0,39762.0,44623.0,53110.0,50185.0,525554
