State Agency or Indian Tribal Organization,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,Cumulative Cost
California,20519196.0,18901956.0,21524813.0,19868040.0,19696405.0,22042499.0,18810410.0,19837831.0,20762578.0,20810409.0,19302377.0,21328031.0,243404545
Guam,139189.0,134043.0,169893.0,152553.0,154725.0,175128.0,152205.0,166175.0,173419.0,177564.0,147199.0,172899.0,1914992
Hawaii,560776.0,510033.0,694139.0,596098.0,590108.0,676110.0,553670.0,622505.0,643332.0,638338.0,1208916.0,605537.0,7899562
Idaho,632857.0,656620.0,719350.0,698841.0,703477.0,711121.0,699659.0,682281.0,694077.0,677498.0,661948.0,685111.0,8222840
Nevada,1272520.0,1313105.0,1450376.0,1378219.0,1455707.0,1456512.0,1293130.0,1530310.0,1411018.0,1467616.0,1389814.0,1474536.0,16892863
Oregon,1293801.0,0.0,2737366.0,1496997.0,1459321.0,1519184.0,87804.0,2775874.0,1422205.0,1486043.0,1404405.0,1379855.0,17062855
Washington,2480612.0,2310996.0,2800505.0,2616912.0,2558447.0,2918220.0,2388282.0,2653207.0,2631177.0,2740958.0,2395031.0,2689209.0,31183556
Northern Marianas,51303.0,49193.0,70485.0,58417.0,55925.0,67689.0,1811.0,107293.0,62803.0,58491.0,866.0,114614.0,698890
"Inter-Tribal Council, AZ",191870.0,179274.0,215862.0,205018.0,203464.0,224844.0,12048.0,377590.0,206031.0,195600.0,383845.0,14348.0,2409794
"Navajo Nation, AZ",,139309.0,134964.0,316073.0,4008.0,311010.0,,,450524.0,159537.0,135243.0,159244.0,1809912
"Inter-Tribal Council, NV",16757.0,16767.0,17024.0,17271.0,18385.0,16505.0,17438.0,18720.0,19144.0,18971.0,9723.0,38057.0,224762
